00:00:00	00:00:00
00:00:01	Superlan
00:00:02	BbnWasIn
00:00:03	Xerox
00:00:04	Xerox
00:00:05	Xerox
00:00:06	Xerox
00:00:07	Xerox
00:00:08	Xerox
00:00:09	Powerpip
00:00:0a	OmronTat
00:00:0b	Matrix
00:00:0c	Cisco
00:00:0d	Fibronic
00:00:0e	Fujitsu
00:00:0f	Next
00:00:10	Hughes
00:00:11	Tektrnix
00:00:12	Informat
00:00:13	Camex
00:00:14	Netronix
00:00:15	Datapoin
00:00:16	DuPontPi
00:00:17	Oracle
00:00:18	WebsterC
00:00:19	AppliedD
00:00:1a	AMD
00:00:1b	NovellNo
00:00:1c	JdrMicro
00:00:1d	Cabletro
00:00:1e	TelsistI
00:00:1f	Cryptall
00:00:20	DIAB
00:00:21	SC&C
00:00:22	VisualTe
00:00:23	AbbAutom
00:00:24	Olicom
00:00:25	Ramtek
00:00:26	Sha-Ken
00:00:27	JapanRad
00:00:28	Prodigy
00:00:29	Imc
00:00:2a	Trw
00:00:2b	CrispAut
00:00:2c	Nrc-Netw
00:00:2d	Chromati
00:00:2e	SocieteE
00:00:2f	Timeplex
00:00:30	VgLabora
00:00:31	QpsxComm
00:00:32	GptReass
00:00:33	EganMach
00:00:34	NetworkR
00:00:35	Spectrag
00:00:36	Atari
00:00:37	OxfordMe
00:00:38	CssLabs
00:00:39	Toshiba
00:00:3a	Chyron
00:00:3b	Hyundai/
00:00:3c	Auspex
00:00:3d	AT&T
00:00:3e	Simpact
00:00:3f	Syntrex
00:00:40	Applicon
00:00:41	Ice
00:00:42	MetierMa
00:00:43	MicroTec
00:00:44	Castelle
00:00:45	FordAero
00:00:46	ISC-BR
00:00:47	NicoletI
00:00:48	Epson
00:00:49	Apricot
00:00:4a	AdcCoden
00:00:4b	APT
00:00:4c	Nec
00:00:4d	Dci
00:00:4e	Ampex
00:00:4f	Logicraf
00:00:50	Radisys
00:00:51	HobElect
00:00:52	OpticalD
00:00:53	Compucor
00:00:54	Schneide
00:00:55	AT&T
00:00:56	DrBStruc
00:00:57	Scitex
00:00:58	RacoreCo
00:00:59	Hellige
00:00:5a	SkSchnei
00:00:5b	Eltec
00:00:5c	Telemati
00:00:5d	Rce
00:00:5e	USDepart
00:00:5f	Sumitomo
00:00:60	KontronE
00:00:61	GatewayC
00:00:62	Hneywell
00:00:63	HP
00:00:64	Yokogawa
00:00:65	NetworkG
00:00:66	Talaris
00:00:67	Soft*Rit
00:00:68	Rosemoun
00:00:69	SGI
00:00:6a	Computer
00:00:6b	MIPS
00:00:6c	Private
00:00:6d	Case
00:00:6e	Artisoft
00:00:6f	MadgeNet
00:00:70	Hcl
00:00:71	Adra
00:00:72	Miniware
00:00:73	Dupont
00:00:74	Ricoh
00:00:75	BellNort
00:00:76	AbekasVi
00:00:77	Interpha
00:00:78	LabtamAu
00:00:79	Networth
00:00:7a	Ardent
00:00:7b	Research
00:00:7c	Ampere
00:00:7d	Cray
00:00:7e	Netframe
00:00:7f	Linotype
00:00:80	CrayComm
00:00:81	Synoptic
00:00:82	LectraSy
00:00:83	TadpoleT
00:00:84	Aquila?A
00:00:85	Canon
